-1.96219e-03 8.63354e-04 -1.30389e-03 4.84400e-04
6.05755e-04 6.67971e-03 -3.97180e-03 4.84300e-04
2.43264e-03 7.18909e-03 1.61735e-03 4.84200e-04
2.59248e-03 7.13639e-03 3.90371e-03 4.84100e-04
2.67766e-03 5.07143e-03 3.05324e-03 4.84000e-04
-1.51238e-03 1.88538e-03 -4.36887e-03 4.83900e-04
2.31198e-03 2.50969e-03 -4.49290e-03 4.83800e-04
-3.36663e-03 7.41001e-04 -2.90106e-03 4.83700e-04
-1.67838e-03 4.47052e-03 2.28001e-03 4.83600e-04
-8.39877e-04 4.03675e-03 2.03818e-03 4.83500e-04
2.15462e-03 5.63241e-03 1.56444e-03 4.83400e-04
-4.17431e-04 5.55619e-04 1.30990e-03 4.83300e-04
5.62666e-04 2.12433e-03 -2.24082e-03 4.83200e-04
-8.94435e-04 8.74349e-04 2.81436e-03 4.83100e-04
-1.29213e-03 3.74904e-03 -4.53701e-04 4.83000e-04
-3.42220e-03 2.49796e-03 4.37089e-03 4.82900e-04
4.20389e-03 5.18000e-03 8.25163e-04 4.82800e-04
4.20581e-03 9.84346e-04 -3.22123e-04 4.82700e-04
-4.46020e-03 2.10283e-03 -2.56190e-03 4.82600e-04
-3.66824e-03 6.42435e-03 -2.30493e-03 4.82500e-04
-2.96961e-03 3.39616e-03 3.35721e-03 4.82400e-04
-1.78235e-03 5.48689e-03 3.39853e-03 4.82300e-04
3.88286e-03 1.83253e-03 3.73998e-03 4.82200e-04
-5.13069e-04 2.02871e-03 -4.18405e-03 4.82100e-04
-1.88295e-03 4.39428e-03 -8.88489e-04 4.82000e-04
-1.48761e-03 4.20508e-03 -2.76648e-03 4.81900e-04
6.72049e-05 5.82877e-03 -4.33306e-03 4.81800e-04
-3.91076e-03 4.75099e-03 -4.48262e-03 4.81700e-04
1.89463e-03 1.69621e-03 1.78099e-03 4.81600e-04
5.69822e-04 4.49610e-03 -9.18839e-04 4.81500e-04
-4.14626e-03 3.27183e-03 -1.33040e-03 4.81400e-04
4.28262e-03 4.31633e-03 4.05102e-03 4.81300e-04
4.03522e-03 6.55284e-03 1.97358e-03 4.81200e-04
4.20284e-03 7.08382e-03 -1.18223e-03 4.81100e-04
3.44390e-04 1.64830e-03 -1.36643e-03 4.81000e-04
-2.54793e-03 5.98671e-03 -3.94612e-03 4.80900e-04
2.57044e-03 4.92008e-03 -3.47285e-03 4.80800e-04
-4.46791e-03 1.09539e-03 -3.66385e-03 4.80700e-04
4.37769e-03 5.47633e-03 2.78859e-03 4.80600e-04
-2.36057e-04 1.78272e-03 2.77891e-03 4.80500e-04
-4.45895e-03 6.70377e-04 1.68730e-03 4.80400e-04
-1.39621e-03 4.52384e-03 -4.21449e-03 4.80300e-04
4.27188e-03 7.81534e-04 3.45363e-03 4.80200e-04
-1.13886e-03 5.36236e-03 -4.75341e-04 4.80100e-04
-1.68796e-03 6.23059e-03 -8.43504e-04 4.80000e-04
-3.38242e-03 1.14062e-03 3.42884e-03 4.79900e-04
4.32394e-04 3.44165e-03 -1.18101e-03 4.79800e-04
1.30608e-03 5.07522e-03 -3.02628e-04 4.79700e-04
1.03079e-03 7.21535e-03 2.39505e-03 4.79600e-04
3.36366e-04 3.67934e-03 1.23140e-03 4.79500e-04
3.21776e-03 6.08485e-04 -2.14356e-03 4.79400e-04
-4.46927e-03 5.01605e-04 4.34194e-03 4.79300e-04
-1.30064e-04 5.07826e-03 4.05955e-03 4.79200e-04
1.02342e-03 1.60443e-03 -5.98466e-04 4.79100e-04
-4.35195e-03 5.58686e-03 -1.78671e-03 4.79000e-04
-1.03735e-05 4.56377e-03 2.18377e-03 4.78900e-04
-2.82572e-03 5.08393e-03 -2.44022e-03 4.78800e-04
-2.56449e-03 3.28482e-03 2.74145e-04 4.78700e-04
-2.53611e-03 6.96382e-03 -4.47394e-03 4.78600e-04
-5.60935e-04 3.96353e-03 -3.99905e-03 4.78500e-04
4.17370e-03 1.39667e-03 -2.63983e-03 4.78400e-04
-1.43943e-03 5.38388e-03 -3.39712e-03 4.78300e-04
1.15296e-03 2.47221e-03 -1.07608e-03 4.78200e-04
2.46894e-03 6.23723e-04 1.53923e-03 4.78100e-04
-6.06891e-04 5.73908e-04 -1.25696e-04 4.78000e-04
-1.47867e-03 1.70325e-03 -1.47509e-03 4.77900e-04
2.44386e-03 5.49068e-03 -1.69377e-03 4.77800e-04
2.00892e-03 4.02792e-03 4.24717e-03 4.77700e-04
2.01108e-03 6.34003e-03 4.33490e-03 4.77600e-04
